Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,symmetric,0.91,0.261459065
75% Corpus,2,asymmetric,0.91,0.261459065
75% Corpus,2,0.01,0.31,0.261085409
75% Corpus,4,0.61,0.61,0.260733765
75% Corpus,2,0.91,symmetric,0.260282436
75% Corpus,4,0.01,0.31,0.25999265
75% Corpus,4,0.31,0.31,0.25999265
75% Corpus,4,symmetric,0.31,0.25999265
75% Corpus,4,0.01,0.61,0.259613964
75% Corpus,4,0.31,0.61,0.258776737
75% Corpus,4,symmetric,0.61,0.258776737
100% Corpus,2,0.01,0.01,0.258043908
100% Corpus,2,0.01,0.31,0.258043908
100% Corpus,2,0.31,0.31,0.258043908
100% Corpus,2,0.61,0.31,0.258043908
100% Corpus,2,0.91,0.31,0.258043908
100% Corpus,2,symmetric,0.31,0.258043908
100% Corpus,2,asymmetric,0.31,0.258043908
75% Corpus,4,asymmetric,0.61,0.25656887
100% Corpus,2,0.31,0.01,0.254400175
100% Corpus,2,0.61,0.01,0.254400175
100% Corpus,2,0.91,0.01,0.254400175
100% Corpus,2,symmetric,0.01,0.254400175
100% Corpus,2,asymmetric,0.01,0.254400175
100% Corpus,2,asymmetric,0.91,0.252769899
100% Corpus,2,0.01,0.61,0.250799823
100% Corpus,2,0.01,0.91,0.250799823
100% Corpus,2,0.01,symmetric,0.250799823
100% Corpus,2,0.31,0.61,0.250799823
100% Corpus,2,0.31,0.91,0.250799823
100% Corpus,2,0.31,symmetric,0.250799823
100% Corpus,2,0.61,0.61,0.250799823
100% Corpus,2,0.61,0.91,0.250799823
100% Corpus,2,0.61,symmetric,0.250799823
100% Corpus,2,0.91,0.61,0.250799823
100% Corpus,2,0.91,0.91,0.250799823
100% Corpus,2,0.91,symmetric,0.250799823
100% Corpus,2,symmetric,0.61,0.250799823
100% Corpus,2,symmetric,0.91,0.250799823
100% Corpus,2,symmetric,symmetric,0.250799823
100% Corpus,2,asymmetric,0.61,0.250799823
100% Corpus,2,asymmetric,symmetric,0.250799823
